,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Super Group View,,,,,,,,,,,,,,,
Go back to report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"4 Facts of MINERAL WATER (FLAVOURED), ALL BRAND, ALL ITEM in Engen - (FMCG), SA Scan FC - (FMCG) during Latest 52 Wks - w/e 29/09/24",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sales Value,Sales Value,Sales Value % Chg YA,Sales Value % Chg YA,Share of Trade in Sales Value - Market,Share of Trade in Sales Value - Market,Share of Trade in Sales Value Chg YA - Market,Share of Trade in Sales Value Chg YA - Market,,,,,
CATEGORY,BRAND,ITEM,Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),,,,,
MINERAL WATER (FLAVOURED),,,"R70,592,723","R275,764,611",32.7%,21.4%,25.6%,100.0%,2.2,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),,"R54,393,348","R150,838,694",31.1%,24.2%,36.1%,100.0%,1.9,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED LEMON 750 ML 1,"R17,423,458","R52,793,195",35.6%,32.0%,33.0%,100.0%,0.9,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED BERRY 750 ML 1,"R15,838,054","R45,246,648",30.3%,28.6%,35.0%,100.0%,0.5,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED PEACH 750 ML 1,"R13,497,234","R36,804,541",21.6%,14.5%,36.7%,100.0%,2.2,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,,"R13,039,335","R13,039,335",41.3%,41.3%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED VERY BERRY 500 ML 1,"R3,954,331","R3,954,331",7.5%,7.5%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED NAARTJIE 500 ML 1,"R3,305,828","R3,305,828",80.1%,80.1%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED LEMON & LIME 500 ML 1,"R2,474,690","R2,474,690",,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,,"R2,362,432","R2,901,378",74.3%,76.5%,81.4%,100.0%,(1.0),0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED APPLE & LITCHI 500 ML 1,"R2,127,342","R2,127,342",,,100.0%,100.0%,100.0,100.0,,,,,
